,words
0,a
1,about
2,account
3,accounthave
4,accountyou
5,adverse
6,again
7,am
8,an
9,and
10,any
11,anyone
12,are
13,artificial
14,as
15,asking
16,assist
17,assistant
18,await
19,away
20,awesome
21,back
22,be
23,blood
24,bot
25,botwhat
26,bye
27,call
28,can
29,can't
30,causedcan
31,chatting
32,come
33,complaint
34,could
35,course
36,create
37,day
38,dayhello
39,do
40,drug
41,easily
42,enable
43,excuse
44,follow
45,for
46,friend
47,from
48,give
49,go
50,good
51,goodbye
52,guide
53,guidelines
54,hand
55,have
56,hello
57,help
58,helpful
59,helping
60,hi
61,hospitals
62,how
63,i
64,i'm
65,in
66,inconvenience
67,info
68,informationwhat
69,intelligent
70,is
71,itfinish
72,joana
73,joanacould
74,just
75,later
76,likeright
77,list
78,looking
79,love
80,m
81,me
82,mehappy
83,mention
84,meplease
85,message
86,more
87,my
88,name
89,need
90,new
91,next
92,nice
93,not
94,now
95,offeredi
96,offering
97,okay
98,open
99,order
100,our
101,pharmacies
102,pharmacieswho
103,phrase
104,please
105,pleaseof
106,pleasetell
107,pleasuresorry
108,pressure
109,problem
110,provide
111,quiet
112,raise
113,reach
114,reaction
115,ready
116,really
117,see
118,serviceplease
119,should
120,shut
121,silence
122,site
123,soon
124,sorry
125,soundhere
126,speak
127,stop
128,support
129,sure
130,talk
131,talking
132,talkweather
133,tell
134,thank
135,thanks
136,that's
137,the
138,there
139,this
140,through
141,till
142,time
143,timesee
144,to
145,tracking
146,translate
147,translateof
148,translateplease
149,understand
150,understandhow
151,up
152,us
153,want
154,wanted
155,we
156,weather
157,web
158,what
159,what's
160,whats
161,who
162,will
163,yes
164,you
165,youi
166,your
